*********************************************************************************************************start
By CHINAMI-JBU9G23
2024年12月8日  22:11:40

操作系统:  Windows 11  (10.0.22621) 64bit
系统内存大小:  32544
设备模型:  MS-7D94 (Micro-Star International Co., Ltd.)
设备唯一标识符:  9f6428c0edde7502a5a7f860e890938052a694a5
处理器数量:  24
处理器类型:  13th Gen Intel(R) Core(TM) i7-13700K
显卡标识符:  9476
显卡名称:  NVIDIA GeForce RTX 3060
显卡标识符:  4318
显卡厂商:  NVIDIA
显卡版本:  Direct3D 11.0 [level 11.1]
显存大小:  12115
显卡着色器级别:  50
是否图像效果:  True
是否支持内置阴影:  True
*********************************************************************************************************end
LogInfo:

[I]22:11:58.040 isWait:True
[I]22:11:58.060 isWait:True
[I]22:11:58.079 isWait:True
[I]22:11:58.096 isWait:True
[I]22:11:58.115 isWait:True
[I]22:11:58.134 isWait:True
[I]22:11:58.152 isWait:True
[I]22:11:58.175 isWait:True
[I]22:11:58.195 isWait:True
[I]22:11:58.213 isWait:True
[I]22:11:58.232 isWait:True
[I]22:11:58.251 isWait:True
[I]22:11:58.270 isWait:True
[I]22:11:58.289 isWait:True
[I]22:11:58.326 isWait:True
[I]22:11:58.329 isWait:True
[I]22:11:58.357 isWait:True
[I]22:11:58.380 isWait:True
[I]22:11:58.399 isWait:True
[I]22:11:58.417 isWait:True
[I]22:11:58.437 isWait:True
[I]22:11:58.455 isWait:True
[I]22:11:58.474 isWait:True
[I]22:11:58.493 isWait:True
[I]22:11:58.512 isWait:True
[I]22:11:58.531 isWait:True
[I]22:11:58.549 isWait:True
[I]22:11:58.568 isWait:True
[I]22:11:58.591 isWait:True
[I]22:11:58.610 isWait:True
[I]22:11:58.628 isWait:True
[I]22:11:58.664 isWait:True
[I]22:11:58.682 isWait:True
[I]22:11:58.700 isWait:True
[I]22:11:58.719 isWait:True
[I]22:11:58.738 isWait:True
[I]22:11:58.756 isWait:True
[I]22:11:58.775 isWait:True
[I]22:11:58.799 isWait:True
[I]22:11:58.818 isWait:True
[I]22:11:58.837 isWait:True
[I]22:11:58.856 isWait:True
[I]22:11:58.875 isWait:True
[I]22:11:58.895 isWait:True
[I]22:11:58.914 isWait:True
[I]22:11:58.933 isWait:True
[I]22:11:58.952 isWait:True
[I]22:11:58.970 isWait:True
[I]22:11:58.989 isWait:True
[I]22:11:59.011 isWait:True
[I]22:11:59.031 isWait:True
[I]22:11:59.050 isWait:True
[I]22:11:59.068 isWait:True
[I]22:11:59.103 isWait:True
[I]22:11:59.108 isWait:True
[I]22:11:59.136 isWait:True
[I]22:11:59.154 isWait:True
[I]22:11:59.173 isWait:True
[I]22:11:59.193 isWait:True
[I]22:11:59.219 isWait:True
[I]22:11:59.241 isWait:True
[I]22:11:59.261 isWait:True
[I]22:11:59.280 isWait:True
[I]22:11:59.299 isWait:True
[I]22:11:59.318 isWait:True
[I]22:11:59.337 isWait:True
[I]22:11:59.356 isWait:True
[I]22:11:59.374 isWait:True
[I]22:11:59.394 isWait:True
[I]22:11:59.417 isWait:True
[I]22:11:59.436 isWait:True
[I]22:11:59.456 isWait:True
[I]22:11:59.475 isWait:True
[I]22:11:59.494 isWait:True
[I]22:11:59.517 isWait:True
[I]22:11:59.538 isWait:True
[I]22:11:59.560 isWait:True
[I]22:11:59.579 isWait:True
[I]22:11:59.597 isWait:True
[I]22:11:59.621 isWait:True
[I]22:11:59.639 isWait:True
[I]22:11:59.666 isWait:True
[I]22:11:59.687 isWait:True
[I]22:11:59.705 isWait:True
[I]22:11:59.724 isWait:True
[I]22:11:59.748 isWait:True
[I]22:11:59.748 isWait:True
[W]
[W]
[W]
[W]
[W]
[W]
[W]
[W]
